No.,Class,Property,"1
Archive","2
Lib","3
HP","4
Research","5
Media","6
Museum","7
Others",Remarks
1,Agent,dcterms:isPartOf,1,1,0,1,1,1,1,
2,,edm:wasPresentAt,1,1,1,1,1,1,1,
3,,rdf:type,1,1,1,1,1,1,1,
4,,skos:prefLabel,1,1,1,1,1,1,1,
5,Aggregation,dcterms:rights,1,1,1,1,1,1,1,
6,,ddb:aggregator,1,1,1,1,1,1,1,
7,,edm:aggregatedCHO,1,1,1,1,1,1,1,
8,,edm:dataProvider,1,1,1,1,1,1,1,
9,,edm:hasView,1,1,1,1,0,1,1,"This property relates a ORE aggregation about a CHO with a web resource providing a view of that CHO. Examples of view are: a thumbnail, a textual abstract and a table of contents. The ORE aggregation may be a Europeana aggregation, in which case the view is an object owned by Europeana (i.e., an instance of edm:EuropeanaObject) or an aggregation contributed by a content provider. In order to capture both these cases, the domain of edm:hasView is ore:Aggregation and its range is edm:WebResource"
10,,edm:isShownAt,1,1,1,1,1,1,1,
11,,edm:isShownBy,1,1,1,1,1,1,1,
12,,edm:object,1,1,1,1,1,1,1,The URL of a suitable source image in the best resolution available on the web site of the data provider from which small images could be generated for use in a portal. This will often be the same URL as given in edm:isShownBy.
13,,edm:provider,1,1,1,1,1,1,1,
14,,edm:rights,1,1,1,1,1,1,1,
15,Concept,skos:notation,1,1,1,1,1,1,1,
16,,skos:prefLabel,1,1,1,1,1,1,1,
17,Event,crm:P11_had_participant,1,1,1,1,1,1,1,
18,,edm:happenedAt,1,1,0,1,1,1,1,
19,,edm:hasType,1,1,1,1,1,1,1,
20,,edm:occuredAt,1,1,1,1,1,1,1,This property associates an event to the smallest known time span that overlaps with the occurrence of that event
21,LinguisticSystem,rdf:value,1,1,1,1,1,1,0,
22,PhysicalThing,dc:title,1,1,0,1,0,0,0,
23,,dcterms:isPartOf,1,1,0,1,0,0,0,
24,,ddb:aggregationEntity,1,1,0,1,0,0,0,
25,,ddb:hierarchyPosition,1,1,0,1,0,0,0,
26,,ddb:hierarchyType,1,1,0,1,0,0,0,
27,Place,skos:prefLabel,1,1,1,1,1,1,1,
28,,wgs84_pos:lat,1,1,1,1,0,0,0,
29,,wgs84_pos:long,1,1,1,1,0,0,0,
30,ProvidedCHO,dc:contributor,1,1,0,1,0,1,1,
31,,dc:creator,1,1,1,1,1,1,1,
32,,dc:date,1,1,1,1,1,1,1,
33,,dc:description,1,1,0,1,1,1,1,
34,,dc:format,1,1,1,1,1,1,1,
35,,dc:identifier,1,1,1,1,1,1,1,
36,,dc:language,1,1,1,1,1,1,0,
37,,dc:publisher,0,1,0,1,1,1,0,
38,,dc:relation,1,1,0,1,1,1,1,
39,,dc:rights,1,1,1,1,1,1,1,
40,,dc:source,0,1,0,1,0,0,0,
41,,dc:subject,1,1,1,1,1,1,1,
42,,dc:title,1,1,1,1,1,1,1,
43,,dc:type,1,1,1,1,1,1,1,
44,,dcterms:alternative,0,1,0,1,1,1,0,
45,,dcterms:bibliographicCitation,0,1,0,0,0,0,0,
46,,dcterms:bibliographicCitation,1,1,1,1,1,1,1,
47,,dcterms:extent,1,1,0,1,1,1,1,
48,,dcterms:isPartOf,1,1,1,1,0,1,0,
49,,dcterms:issued,0,1,1,1,0,1,1,
50,,dcterms:language,1,1,1,1,1,1,0,
51,,dcterms:medium,1,1,0,0,0,1,0,
52,,dcterms:provenance,0,0,0,1,1,1,0,
53,,dcterms:spatial,1,1,1,1,1,1,1,
54,,dcterms:subject,1,1,1,1,1,1,1,
55,,dcterms:temporal,0,1,0,1,0,1,0,
56,,ddb:aggregationEntity,1,1,1,1,0,0,0,
57,,ddb:hierarchyPosition,1,1,1,1,0,0,0,
58,,ddb:hierarchyType,1,1,0,1,0,1,0,
59,,edm:currentLocation,1,1,1,1,1,1,1,
60,,edm:hasMet,1,1,1,1,1,1,1,
61,,edm:hasType,1,1,1,1,1,1,1,
62,,edm:isNextInSequence,0,1,0,1,0,0,0,
63,,edm:type,1,1,1,1,1,1,1,
64,TimeSpan,edm:begin,1,1,1,1,1,1,1,
65,,edm:end,1,1,1,1,1,1,1,
66,,skos:notation,1,1,1,1,1,1,0,
67,WebResource,:fnd,0,1,0,0,0,0,0,
68,,dc:creator,1,0,0,1,1,1,1,
69,,dc:description,0,0,1,0,0,0,0,
70,,dc:format,1,1,0,1,1,0,1,
71,,dc:publisher,0,1,0,0,0,1,0,
72,,dc:rights,1,1,1,1,1,1,1,
73,,dc:type,1,1,1,1,1,1,1,
74,,dcterms:created,0,1,0,0,0,1,0,
75,,dcterms:rights,1,1,1,1,1,1,1,
76,,edm:rights,1,1,1,1,1,1,1,